bairro,racial,renda,valor
Barra de Gramame,Branca,Total,121
Barra de Gramame,Parda,Até 1/2 SM,14
Barra de Gramame,Parda,Mais de 1/2 a 1 SM,30
Barra de Gramame,Parda,Mais de 1 a 2 SM,17
Barra de Gramame,Parda,Mais de 2 a 3 SM,4
Barra de Gramame,Parda,Mais de 3 a 5 SM,3
Barra de Gramame,Parda,Mais de 5 a 10 SM,3
Barra de Gramame,Parda,Mais de 10 SM,0
Barra de Gramame,Parda,Sem rendimento,46
Barra de Gramame,Parda,Total,117
Barra de Gramame,Preta,Até 1/2 SM,4
Barra de Gramame,Preta,Mais de 1/2 a 1 SM,15
Barra de Gramame,Preta,Mais de 1 a 2 SM,4
Barra de Gramame,Preta,Mais de 2 a 3 SM,1
Barra de Gramame,Preta,Mais de 3 a 5 SM,0
Barra de Gramame,Preta,Mais de 5 a 10 SM,0
Barra de Gramame,Preta,Mais de 10 SM,0
Barra de Gramame,Preta,Sem rendimento,13
Barra de Gramame,Preta,Total,37
Barra de Gramame,Indígena,Até 1/2 SM,0
Barra de Gramame,Indígena,Mais de 1/2 a 1 SM,1
Barra de Gramame,Indígena,Mais de 1 a 2 SM,1
Barra de Gramame,Indígena,Mais de 2 a 3 SM,0
Barra de Gramame,Indígena,Mais de 3 a 5 SM,0
Barra de Gramame,Indígena,Mais de 5 a 10 SM,0
Barra de Gramame,Indígena,Mais de 10 SM,0
Barra de Gramame,Indígena,Sem rendimento,1
Barra de Gramame,Indígena,Total,3
Barra de Gramame,Amarela,Até 1/2 SM,0
Barra de Gramame,Amarela,Mais de 1/2 a 1 SM,0
Barra de Gramame,Amarela,Mais de 1 a 2 SM,0
Barra de Gramame,Amarela,Mais de 2 a 3 SM,0
Barra de Gramame,Amarela,Mais de 3 a 5 SM,0
Barra de Gramame,Amarela,Mais de 5 a 10 SM,0
Barra de Gramame,Amarela,Mais de 10 SM,0
Barra de Gramame,Amarela,Sem rendimento,0
Barra de Gramame,Amarela,Total,0
Barra de Gramame,Total,Até 1/2 SM,37
Barra de Gramame,Total,Mais de 1/2 a 1 SM,88
Barra de Gramame,Total,Mais de 1 a 2 SM,31
Barra de Gramame,Total,Mais de 2 a 3 SM,6
Barra de Gramame,Total,Mais de 3 a 5 SM,7
Barra de Gramame,Total,Mais de 5 a 10 SM,5
Barra de Gramame,Total,Mais de 10 SM,0
Barra de Gramame,Total,Sem rendimento,104
Barra de Gramame,Total,Total,278
Bessa,Branca,Até 1/2 SM,48
Bessa,Branca,Mais de 1/2 a 1 SM,672
Bessa,Branca,Mais de 1 a 2 SM,801
Bessa,Branca,Mais de 2 a 3 SM,607
Bessa,Branca,Mais de 3 a 5 SM,805
Bessa,Branca,Mais de 5 a 10 SM,982
Bessa,Branca,Mais de 10 SM,540
Bessa,Branca,Sem rendimento,2198
Bessa,Branca,Total,6653
Bessa,Parda,Até 1/2 SM,70
Bessa,Parda,Mais de 1/2 a 1 SM,730
Bessa,Parda,Mais de 1 a 2 SM,581
Bessa,Parda,Mais de 2 a 3 SM,333
Bessa,Parda,Mais de 3 a 5 SM,417
Bessa,Parda,Mais de 5 a 10 SM,537
Bessa,Parda,Mais de 10 SM,224
Bessa,Parda,Sem rendimento,1437
Bessa,Parda,Total,4329
Bessa,Preta,Até 1/2 SM,14
Bessa,Preta,Mais de 1/2 a 1 SM,100
Bessa,Preta,Mais de 1 a 2 SM,68
Bessa,Preta,Mais de 2 a 3 SM,28
Bessa,Preta,Mais de 3 a 5 SM,39
Bessa,Preta,Mais de 5 a 10 SM,39
Bessa,Preta,Mais de 10 SM,24
Bessa,Preta,Sem rendimento,138
Bessa,Preta,Total,450
Bessa,Indígena,Até 1/2 SM,0
Bessa,Indígena,Mais de 1/2 a 1 SM,4
Bessa,Indígena,Mais de 1 a 2 SM,2
Bessa,Indígena,Mais de 2 a 3 SM,4
Bessa,Indígena,Mais de 3 a 5 SM,1
Bessa,Indígena,Mais de 5 a 10 SM,4
Bessa,Indígena,Mais de 10 SM,0
Bessa,Indígena,Sem rendimento,1
Bessa,Indígena,Total,16
Bessa,Amarela,Até 1/2 SM,0
Bessa,Amarela,Mais de 1/2 a 1 SM,16
Bessa,Amarela,Mais de 1 a 2 SM,25
Bessa,Amarela,Mais de 2 a 3 SM,16
Bessa,Amarela,Mais de 3 a 5 SM,17
Bessa,Amarela,Mais de 5 a 10 SM,20
Bessa,Amarela,Mais de 10 SM,4
Bessa,Amarela,Sem rendimento,66
Bessa,Amarela,Total,164
Bessa,Total,Até 1/2 SM,132
Bessa,Total,Mais de 1/2 a 1 SM,1522
Bessa,Total,Mais de 1 a 2 SM,1477
Bessa,Total,Mais de 2 a 3 SM,988
Bessa,Total,Mais de 3 a 5 SM,1279
Bessa,Total,Mais de 5 a 10 SM,1582
Bessa,Total,Mais de 10 SM,792
Bessa,Total,Sem rendimento,3840
Bessa,Total,Total,11612
Brisamar,Branca,Até 1/2 SM,10
Brisamar,Branca,Mais de 1/2 a 1 SM,178
Brisamar,Branca,Mais de 1 a 2 SM,259
Brisamar,Branca,Mais de 2 a 3 SM,174
Brisamar,Branca,Mais de 3 a 5 SM,316
Brisamar,Branca,Mais de 5 a 10 SM,427
Brisamar,Branca,Mais de 10 SM,388
Brisamar,Branca,Sem rendimento,992
Brisamar,Branca,Total,2744
Brisamar,Parda,Até 1/2 SM,8
Brisamar,Parda,Mais de 1/2 a 1 SM,148
Brisamar,Parda,Mais de 1 a 2 SM,122
Brisamar,Parda,Mais de 2 a 3 SM,73
Brisamar,Parda,Mais de 3 a 5 SM,113
Brisamar,Parda,Mais de 5 a 10 SM,109
Brisamar,Parda,Mais de 10 SM,101
Brisamar,Parda,Sem rendimento,407
Brisamar,Parda,Total,1081
Brisamar,Preta,Até 1/2 SM,0
Brisamar,Preta,Mais de 1/2 a 1 SM,27
Brisamar,Preta,Mais de 1 a 2 SM,8
Brisamar,Preta,Mais de 2 a 3 SM,4
Brisamar,Preta,Mais de 3 a 5 SM,5
Brisamar,Preta,Mais de 5 a 10 SM,2
Brisamar,Preta,Mais de 10 SM,4
Brisamar,Preta,Sem rendimento,19
Brisamar,Preta,Total,69
Brisamar,Indígena,Até 1/2 SM,0
Brisamar,Indígena,Mais de 1/2 a 1 SM,0
Brisamar,Indígena,Mais de 1 a 2 SM,0
Brisamar,Indígena,Mais de 2 a 3 SM,0
Brisamar,Indígena,Mais de 3 a 5 SM,0
Brisamar,Indígena,Mais de 5 a 10 SM,0
Brisamar,Indígena,Mais de 10 SM,2
Brisamar,Indígena,Sem rendimento,2
Brisamar,Indígena,Total,4
Brisamar,Amarela,Até 1/2 SM,0
Brisamar,Amarela,Mais de 1/2 a 1 SM,3
Brisamar,Amarela,Mais de 1 a 2 SM,2
Brisamar,Amarela,Mais de 2 a 3 SM,1
Brisamar,Amarela,Mais de 3 a 5 SM,4
Brisamar,Amarela,Mais de 5 a 10 SM,3
Brisamar,Amarela,Mais de 10 SM,5
Brisamar,Amarela,Sem rendimento,9
Brisamar,Amarela,Total,27
Brisamar,Total,Até 1/2 SM,18
Brisamar,Total,Mais de 1/2 a 1 SM,356
Brisamar,Total,Mais de 1 a 2 SM,391
Brisamar,Total,Mais de 2 a 3 SM,252
Brisamar,Total,Mais de 3 a 5 SM,438
Brisamar,Total,Mais de 5 a 10 SM,541
Brisamar,Total,Mais de 10 SM,500
Brisamar,Total,Sem rendimento,1429
Brisamar,Total,Total,3925
Cabo Branco,Branca,Até 1/2 SM,24
Cabo Branco,Branca,Mais de 1/2 a 1 SM,318
Cabo Branco,Branca,Mais de 1 a 2 SM,408
Cabo Branco,Branca,Mais de 2 a 3 SM,263
Cabo Branco,Branca,Mais de 3 a 5 SM,443
Cabo Branco,Branca,Mais de 5 a 10 SM,954
Cabo Branco,Branca,Mais de 10 SM,1062
Cabo Branco,Branca,Sem rendimento,1486
Cabo Branco,Branca,Total,4958
Cabo Branco,Parda,Até 1/2 SM,19
Cabo Branco,Parda,Mais de 1/2 a 1 SM,299
Cabo Branco,Parda,Mais de 1 a 2 SM,243
Cabo Branco,Parda,Mais de 2 a 3 SM,110
